ISRC,Chartmetric ID,Track Name,Artists,Tags,Genres,Genre IDs,Moods,Activities
INA702015544,140784791.0,,"Khesari Lal Yadav, Shilpi Raj",,,,,
GBSGZ1200069,13030918.0,"Mann Mera (From ""Table No. 21"")",Gajendra Verma,"bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","affectionate, melancholic, intimate, nostalgic, sentimental, yearning","soft, sleep, lofi, driving, wind, study"
INH102411953,137174275.0,,"Thaman S, Anantha Sriram, Nakash Aziz",,,,,
INH109241020,13215916.0,Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi","south asian classical, bollywood, playback, pakistani fusion, indian fusion, sufi rock","bollywood, south asian classical, playback, indian fusion, pakistani fusion, sufi rock","501219, 503287, 505383, 507684, 507755, 507824","affectionate, cheerful, happy","sleep, soft, noise, morning, coffee"
INS181905004,25629739.0,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev, Jubin Nautiyal","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, longing, sentimental","sleep, soft, lofi, study, sleeping"
INA091816258,21896432.0,Undiporaadhey,"Sid Sriram, Tejus Kancherla, Tej Kurapati, Abhinav Chunchu, Priya Vadlamani, Hemal Ingle",telugu,telugu,501819,"depressing, lonely, melancholic","soft, sleep, coffee, driving, morning, summer, roadtrip"
INH109338560,13216095.0,,"Lata Mangeshkar, Udit Narayan, Chorus",,,,,
INA092319036,116141394.0,Ramana Aei,"Thaman S, Kanakavva, Mahesh Babu, Gongura (T)",telugu,telugu,501819,"catchy, energetic, entertaining, upbeat, fun","driving, running"
QM6P42332209,102448504.0,Still Rollin,Shubh,"punjabi, punjabi trap, pakistani fusion","punjabi, pakistani fusion, punjabi trap","501717, 507755, 507791","entertaining, anthemic","urban, driving, focus"
INH102410974,135846940.0,,"B.Ajaneesh Loknath, Chethan Gandharva, MC Bijju, Anup Bhandari",,,,,
INS181401653,18442120.0,,"Arijit Singh, Bipasa Basu, Imran Abbas, Major Bikramjeet Singh, Deepraj Rana, Mukul Dev",,,,,
INP100300046,13219714.0,Pal Pal Dil Ke Paas - Blackmail / Soundtrack Version,Kishore Kumar,"playback, south asian classical, bollywood, pakistani fusion","bollywood, south asian classical, playback, pakistani fusion","501219, 503287, 505383, 507755","affectionate, sentimental, connecting, heartwarming","soft, morning, sleep, lofi, roadtrip"
USUM72412584,144440720.0,,Lady Gaga,,,,,
INT109600003,13223933.0,Aaye Ho Meri Zindagi Mein - Female Version,Alka Yagnik,bollywood,bollywood,501219,"heartwarming, longing, soulful, emotional, sentimental","ambient, lounge, sleep"
INA090104012,13209694.0,,"S.P.Balasubrahmanyam, S.Janaki",,,,,
INS171501744,13222007.0,Janam Janam,"Arijit Singh, Antara Mitra, Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, nostalgic",bonding
INS182501098,144700281.0,"Love Song (From ""Kannappa"") [TELUGU]","L. V. Revanth, Sahithi Chaganti, Stephen Devassy, Sreemani",telugu,telugu,501819,"affectionate, soothing, moving, dreamy",
INY090000001,17581215.0,,"Lata Mangeshkar, Jatin-Lalit, Anand Bakshi",,,,,
INI112200518,117433105.0,जय जय श्री राम जय श्री राम,Saint Dr Gurmeet Ram Rahim Singh Ji Insan,"indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
USA2P2506635,143574475.0,Mahila Mittar,"Kulbir Ahlawat, Masoom Sharma, Komal Choudhary, Khushi Baliyan",haryanvi,haryanvi,501514,"flirty, fun, catchy, lively",rural
GBAHS1700024,12450042.0,Perfect,Ed Sheeran,"pop, soft pop, electropop, acoustic","pop, electropop, acoustic, soft pop","501120, 501872, 507549, 507814","emotional, heartwarming, affectionate, cathartic, inspirational, intimate",bonding
IN-V11-95-00459,,,,,,,,
DGA0P2448832,137842175.0,Dhara 302,Amit Saini Rohtakiya,haryanvi,haryanvi,501514,heavy,"workout, cruising, driving"
QZWFF2462720,137235563.0,YEDA YUNG,"YUNG DSA, Year Down",desi hip-hop,desi hip-hop,501436,"adrenaline, aggressive, rebellious","revolution, urban"
ESA122453601,125859526.0,Jija Ji (feat. Sonika Singh),Meeta Baroda,haryanvi,haryanvi,501514,"fun, upbeat","dancy, rural"
INZ031400534,16537348.0,Teri Meri Kahaani,"Palak Muchhal, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, connecting, heartwarming",bonding
INA092519921,146399793.0,"Poyiraa Mama (From ""Kuberaa"")","Devi Sri Prasad, Dhanush, Bhaskarabhatla",tamil,tamil,501811,,
INA090104021,21209034.0,,"S.P.Balasubrahmanyam, S.Janaki",,,,,
INS182403347,139910512.0,"Kissik (From ""Pushpa 2 The Rule"")","Lothika, Sublahshini, Devi Sri Prasad, Raqueeb Alam","indian pop, bollywood","bollywood, indian pop","501219, 501220","catchy, celebratory, energetic, entertaining, fun","dancy, partying, urban"
INA440700070,13211847.0,Ninnidale,"Sonu Nigam, Jayant Kaikini",kannadan,kannadan,501575,"nostalgic, peaceful","soft, beach, driving, roadtrip, workout"
INA092117886,68313940.0,Oo Antava Oo Oo Antava,Indravathi Chauhan,"indian pop, telugu, tamil","indian pop, tamil, telugu","501220, 501811, 501819","ROMANTIC, SEXY, DARK, PEACEFUL, WARM",
INY099700003,13227308.0,,"Lata Mangeshkar, Uttam Singh, Anand Bakshi",,,,,
INZ031413259,104533069.0,"Udd Jaa Kaale Kaava (From ""Gadar 2"")","Mithoon, Udit Narayan, Alka Yagnik","bollywood, new romantic, south asian classical, indian fusion, pakistani fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, moving, cathartic, heartwarming, optimistic, intimate, melancholic","driving, melodic, relaxation"
INS189110009,18628519.0,Dil Hai Ki Manta Nahin,Anuradha Paudwal,bollywood,bollywood,501219,"affectionate, contemplative, heartwarming, longing, melancholic",drinking
INS172309078,111994305.0,"Badass (From ""Leo"")",Anirudh Ravichander,tamil,tamil,501811,"dynamic, exciting, empowering, intense, energizing","workout, background, driving, morning, running"
INS181903758,24070780.0,,"Akhil Sachdeva, Tulsi Kumar",,,,,
QM4TW2268780,73509869.0,"Arabic Kuthu (From ""Beast"")","Anirudh Ravichander, Jonita Gandhi","tamil, indian fusion","tamil, indian fusion","501811, 507684","energetic, fun, upbeat","dancy, partying"
INS170816455,13220420.0,Maahi,"Shaarib Toshi, Toshi Sabri","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","emotional, heartwarming, sentimental, nostalgic","sleep, soft, driving, sleeping, working"
US38Y2432273,140956261.0,Pistol,Sumit Parta,"haryanvi, punjabi","haryanvi, punjabi","501514, 501717","aggressive, energetic, hype, rebellious","workout, cruising, gaming, sleep"
QM6N22574304,145997934.0,,"Masoom Sharma, Amar Karnawal, Pinna Music, Prithviraj Pilania",,,,,
INS181305660,16795119.0,,"Arijit Singh, Neeti Mohan",,,,,
INS181401468,58736730.0,,Aaman Trikha,,,,,
INT202404391,118105816.0,"Illuminati - From ""Aavesham""","Sushin Shyam, Dabzee, Vinayak Sasikumar","tamil, malayalam, malayam hip-hop","malayalam, tamil, malayam hip-hop","501619, 501811, 505367","dynamic, energetic, intriguing, celebratory, mysterious, powerful, rebellious",urban
INS180500429,17178570.0,,"Himesh Reshammiya, Emraan Hashmi, Udita Goswami, Dino Morea",,,,,
INS182400071,116002167.0,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Tanishk Bagchi, Romy, Neeraj Rajawat","indian fusion, pakistani fusion, indian pop, new romantic, south asian classical, bollywood","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","chill, happy, fun",
ING642503077,145005497.0,Chandi Ke Katore,"Khesari Lal Yadav, Shilpi Raj",Others,,,ROMANTIC,
INA442400144,134314352.0,,"K.S.Chitra, Sai Karthic",,,,,
INS181903732,24044375.0,,"Vishal Mishra, Manoj Muntashir",,,,,
INS181800103,18206009.0,Chhote Chhote Peg,"Yo Yo Honey Singh, Neha Kakkar, Navraj Hans","indian pop, indian fusion, pakistani fusion, desi trap","indian pop, desi trap, indian fusion, pakistani fusion","501220, 507616, 507684, 507755","celebratory, energetic, festive, euphoric","drinking, partying"
INA091916664,26682737.0,,"Anurag Kulkarni, Mangli, Thaman S",,,,,
INS172501227,146290388.0,,"Jakes Bejoy, Sid Sriram, Sithara Krishnakumar",,,,,
INH109537400,13216563.0,Ruk Ja O Dil Deewane,Udit Narayan,"bollywood, south asian classical","bollywood, south asian classical","501219, 503287","affectionate, heartwarming, dreamy, intimate, nostalgic","wind, roadtrip, coffee, revolution, summer"
INY092200126,97263548.0,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","indian fusion, pakistani fusion, indian pop, south asian classical, new romantic, bollywood","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","celebratory, sensual, cheerful, fun, playful",partying
INA702015672,146376879.0,Mood Naikhe,"Khesari Lal Yadav, Shilpi Raj",pop,pop,501120,,
INH102307782,102783570.0,"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Varun Jain, Altamash Faridi, Amitabh Bhattacharya, Shadab Faridi, Sachin-Jigar","pakistani fusion, indian fusion, bollywood, south asian classical, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","dreamy, family, affectionate, anthemic, cheerful","soft, sleep, lofi, study, driving"
INS172411780,137998362.0,,Anirudh Ravichander,,,,,
INUM70500760,13225622.0,,"Kishore Kumar, Asha Bhosle",,,,,
US38Y2506822,143491230.0,,"Jassie Gill, Kartik Dev, Gaurav Dev",,,,,
INS181901739,23823620.0,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon, Sachet-Parampara","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","longing, emotional, contemplative, cathartic, nostalgic, pensive","sleep, soft, lofi, study"
INS182300213,99267853.0,"Tere Pyaar Mein (From ""Tu Jhoothi Main Makkar"")","Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","indian fusion, pakistani fusion, south asian classical, bollywood, new romantic, indian pop","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","catchy, affectionate, entertaining","soft, driving, lofi, study, workout"
INS182303648,115343599.0,Narayan Mil Jayega,"Jubin Nautiyal, Payal Dev, Manoj Muntashir","indian ambient, indian devotional & spiritual, bhajan","bhajan, indian devotional & spiritual, indian ambient","501308, 503778, 503782",ROMANTIC,
INA440600057,13211839.0,Anisuthide,Sonu Nigam,kannadan,kannadan,501575,"peaceful, catchy, dramatic","coffee, driving, focus, roadtrip"
INS182402453,135263136.0,Kamar Up Kamar Down,Neelkamal Singh,bhojpuri,bhojpuri,501310,"family, fun",
INS181402053,18693520.0,Love Dose,Yo Yo Honey Singh,"pakistani fusion, indian fusion, indian pop, punjabi trap, punjabi","indian pop, punjabi, indian fusion, pakistani fusion, punjabi trap","501220, 501717, 507684, 507755, 507791","cathartic, celebratory, entertaining, upbeat","dancy, partying, urban"
INS181900274,22393000.0,"Coca Cola (From ""Luka Chuppi"")","Tony Kakkar, Neha Kakkar, Young Desi, Tanishk Bagchi, Kriti Sanon, Pankaj Tripathi, Aparshakti Khurrana","indian fusion, indian pop, pakistani fusion, desi trap","indian pop, desi trap, indian fusion, pakistani fusion","501220, 507616, 507684, 507755","catchy, entertaining, fun, upbeat",dancy
INH102202128,80304374.0,Pillaa Raa,Anurag Kulkarni,telugu,telugu,501819,"emotional, affectionate, intimate, heartwarming, passionate, upbeat","sleep, driving"
ING642411607,136225730.0,Keejo Kesari Ke Lal,Lakhbir Singh Lakha,"indian ambient, indian devotional & spiritual","indian devotional & spiritual, indian ambient","503778, 503782",,
INA090203604,13209794.0,,"S.P.Balasubrahmanyam, S.Janaki",,,,,
INH102217411,97114919.0,,Neelkamal Singh,,,,,
INUM70500288,13225541.0,"Wada Karo - From ""Aa Gale Lag Jaa""","Kishore Kumar, Lata Mangeshkar",playback,playback,505383,"affectionate, soulful, heartwarming, tender, connecting",driving
INT202505166,141667063.0,"Rise Of Dragon - From ""Dragon""","Leon James, Anirudh Ravichander, Vignesh Shivan",tamil,tamil,501811,"adventurous, anthemic, empowering, energetic, dramatic, exciting, inspirational, intense","workout, roadtrip, sleep, study"
INS182006274,31426861.0,Taaron Ke Shehar,"Neha Kakkar, Jubin Nautiyal, Jaani","bollywood, pakistani fusion, indian fusion, south asian classical","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","chill, happy",soft
USA2P2438935,123478372.0,Arbi Ghode,"Masoom Sharma, Jaivir Rathee",haryanvi,haryanvi,501514,"catchy, chill, heavy, energetic, vibrant","rural, workout"
INS181801175,19335953.0,Humnava Mere,"Jubin Nautiyal, Rocky - Shiv","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","mournful, affectionate, longing","sleep, soft, lofi, sleeping, study, wind"
INH109939980,13217059.0,,Alka Yagnik,,,,,
IN-V11-94-00080,,,,,,,,
INS189911136,23543836.0,Ab Mujhe Raat Din,Sonu Nigam,bollywood,bollywood,501219,"chill, soothing, nostalgic, happy, peaceful","soft, sleep"
INW262400751,120415008.0,MVP,Shubh,"punjabi, punjabi trap","punjabi, punjabi trap","501717, 507791","celebratory, empowering, assertive, ambitious, provocative","urban, driving"
INS172102500,53205739.0,Param Sundari,"A.R. Rahman, Shreya Ghoshal","indian fusion, indian pop, pakistani fusion, south asian classical","indian pop, south asian classical, indian fusion, pakistani fusion","501220, 503287, 507684, 507755","energetic, entertaining, celebratory, cheerful, upbeat",dancy
INH109940060,13217067.0,Ek Pal Ka Jeena,Lucky Ali,"indian pop, indian fusion, south asian classical, pakistani fusion, bollywood","bollywood, indian pop, south asian classical, indian fusion, pakistani fusion","501219, 501220, 503287, 507684, 507755","heartwarming, sentimental, dramatic","study, driving, noise, roadtrip, wind"
INS181702408,17952639.0,,"Yo Yo Honey Singh, Simar Kaur, Ishers, Anand Raj Anand",,,,,
INS180241250,17301626.0,Thoda Sa Pyar Hua Hai,Alka Yagnik,bollywood,bollywood,501219,"soothing, sweet, chill","sleep, soft, sleeping"
INH102215690,94024932.0,Gundellonaa,"Leon James, Anirudh Ravichander",telugu,telugu,501819,"chill, happy, fun, free, hype, peaceful","driving, noise, coffee, sleep"
INA090930696,13210701.0,,"S.P.Balasubrahmanyam, Chitra",,,,,
INH109437720,13216297.0,"Kuchh Na Kaho, Pt. 1","Kumar Sanu, R. D. Burman","bollywood, south asian classical, playback","bollywood, south asian classical, playback","501219, 503287, 505383","chill, nostalgic, soothing, soulful","sleep, soft, coffee"
INS182402561,135736910.0,"Matta (From ""The Greatest Of All Time"")","Yuvan Shankar Raja, Shenbagaraj, Velu, Sam, Narayanan Ravishankar",tamil,tamil,501811,"cathartic, celebratory, cheerful, energetic, fun","workout, drinking, driving"
INA1I2405488,123392191.0,,"Pawan Singh, Shivani Singh",,,,,
INW272200083,94023582.0,,King,,,,,
INS181801889,20433207.0,"Akh Lad Jaave (From ""Loveyatri"")","Badshah, Asees Kaur, Jubin Nautiyal, Tanishk Bagchi, Aayush Sharma, Warina Hussain, Ronit Roy, Ram Kapoor, Manoj Joshi, Arbaaz Khan, Sohail Khan","indian fusion, pakistani fusion, indian pop, south asian classical","indian pop, south asian classical, indian fusion, pakistani fusion","501220, 503287, 507684, 507755","chill, happy, fun",
INH100051750,13212955.0,Mohabbat Ho Na Jaye,"Alka Yagnik, Kumar Sanu","bollywood, south asian classical","bollywood, south asian classical","501219, 503287","reflective, sorrowful","background, roadtrip, traveling"
INS172102719,55973978.0,,"Jasleen Royal, B Praak, Romy, Anvita Dutt",,,,,
INS189323829,43602871.0,,Anuradha Paudwal,,,,,
INL239021791,99606694.0,Kamariya Dole,"Neelkamal Singh, Shilpi Raj",bhojpuri,bhojpuri,501310,"chill, family, free, fun, nostalgic, soothing","lofi, relaxation"
ISRCINM431101127,,,,,,,,
INS181601425,16588749.0,,Palak Muchhal,,,,,
INS171800482,18504567.0,,"Shaarib Toshi, Arijit Singh",,,,,
INGC12300522,115981012.0,Weapon,"KD DESIROCK, Komal Chaudhary",haryanvi,haryanvi,501514,"aggressive, bold, empowering, intense, moody",revolution
INT502310027,113431120.0,,"Komal Choudhary, Harjeet Deewana, Komal Choudhary,Harjeet Deewana",,,,,
INS172307161,104287171.0,"Naa Ready (From ""Leo"")","Anirudh Ravichander, Thalapathy Vijay, Asal Kolaar",tamil,tamil,501811,celebratory,"workout, driving, background, morning, drinking"
DGA0L2439858,136800750.0,Pagal Banawe,"Sinta Bhai, Filmy, Shiqaari",haryanvi,haryanvi,501514,"catchy, celebratory, energetic, fun","dancy, partying"
INH102408495,127468160.0,"Jaanam (From ""Bad Newz"")",Vishal Mishra,"bollywood, new romantic, indian fusion, south asian classical, pakistani fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, affectionate, passionate, heartwarming, exhilarating, cathartic","lofi, soft, sleep, study"
INS171600165,13222044.0,"Bolna (From ""Kapoor & Sons (Since 1921)"")","Tanishk Bagchi, Arijit Singh, Asees Kaur, Sidharth Malhotra, Rishi Kapoor, Alia Bhatt, Fawad Khan","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, heartwarming, soulful, mellow, vulnerable","soft, sleep, lofi, study, sleeping, wind"
FR10S1995202,22619357.0,East Side Flow,Sidhu Moose Wala,"punjabi, punjabi trap, indian hip-hop/rap","indian hip-hop/rap, punjabi, punjabi trap","501221, 501717, 507791","celebratory, empowering, energetic, dramatic, frenetic, rebellious, encouraging",urban
INM431600737,13219055.0,,Diljit Dosanjh,,,,,
USA2P2460117,136310749.0,,Neelkamal Singh,,,,,
INA090931906,13210820.0,Nee Tholisariga,"Usha, Nagarjuna, Shreya",telugu,telugu,501819,"ROMANTIC, PEACEFUL, WARM, JOYFUL, SERIOUS",
INS181904064,24488975.0,"O Saki Saki (From ""Batla House"")","Neha Kakkar, Tulsi Kumar, B Praak, Tanishk Bagchi, Vishal-Shekhar","indian fusion, indian pop, pakistani fusion, south asian classical","indian pop, south asian classical, indian fusion, pakistani fusion","501220, 503287, 507684, 507755","feel-good, celebratory, energetic, entertaining, upbeat",partying
INH102502114,146608414.0,"Thanu (From ""Hit - 3"") (Telugu)","Mickey J. Meyer, Anirudh Ravichander, Raghav",telugu,telugu,501819,ROMANTIC,lofi
USUG12405844,136303797.0,Dancing In The Flames,The Weeknd,"pop, r&b/soul, dance, electronic, alternative","pop, electronic, r&b/soul, alternative, dance","501120, 501124, 501125, 501132, 501146","exhilarating, intense, passionate, brooding, chaotic, adrenaline",driving
INS181006841,13222434.0,,"Pritam, Sunidhi Chauhan, KK, Shahid",,,,,
INS180705981,17285131.0,,"Pritam, Mika Singh",,,,,
INS182303390,114444274.0,,"Vishal Mishra, Anantha Sreeram",,,,,
TCAFC2063050,31398792.0,Brown Munde,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","punjabi, punjabi trap, pakistani fusion, indian fusion, indian hip-hop/rap","indian hip-hop/rap, punjabi, indian fusion, pakistani fusion, punjabi trap","501221, 501717, 507684, 507755, 507791","energetic, adventurous, celebratory, exciting, rebellious","driving, urban, partying"
INS182402339,134098511.0,"Do U Know (From ""Khel Khel Mein"")","Diljit Dosanjh, Tanishk Bagchi, B Praak","new romantic, punjabi, indian pop, bollywood, indian fusion","bollywood, indian pop, punjabi, indian fusion, new romantic","501219, 501220, 501717, 507684, 507743","chill, bold, soothing, soulful","soft, gaming, urban"
INUM72300284,102992747.0,,"Javed-Mohsin, Vishal Mishra, Shreya Ghoshal",,,,,
INA092519896,145624258.0,Balu Gani Intilona,"Bheems Ceciroleo, Raghu Kunche, Dev Pawar","soundtrack, indian","soundtrack, indian","501139, 501540",,
INA092419704,139545865.0,"Daaku The Intro (From ""Daaku Maharaaj"")",Thaman S,"telugu, dance, electronic","electronic, dance, telugu","501124, 501146, 501819",ROMANTIC,
IN-V11-93-01151,,,,,,,,
INY090000004,13227206.0,Aankhein Khuli,"Lata Mangeshkar, Udit Narayan, Udbhav, Ishaan, Shweta Pandit","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","affectionate, festive, uplifting",
INT109500001,13223905.0,Humko Sirf Tumse,"Kumar Sanu, Alka Yagnik, Nadeem Shravan",bollywood,bollywood,501219,"moving, bittersweet, heartwarming, sentimental","morning, sleep"
TCAHF2307040,,,,,,,,
INSD11900024,,,,,,,,
IN-V11-93-00592,,,,,,,,
INS182302918,112547588.0,"Hua Main (From ""ANIMAL"")","Raghav Chaitanya, Manoj Muntashir, Pritam","bollywood, pakistani fusion, indian fusion, south asian classical, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, devoted, heartwarming, intimate, passionate",
ING642502484,144417238.0,Salwarwa Lale Lal,"Pawan Singh, Shivani Singh",bhojpuri,bhojpuri,501310,,
INS170816456,13220421.0,Soniyo,"Raju Singh, Sonu Nigam, Shreya Ghoshal, Neeraj Shridhar","bollywood, south asian classical, pakistani fusion, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","affectionate, heartwarming, dreamy, intimate, tender",bonding
INA090309830,13210082.0,Vastha Nee Venuka,"Hari Haran, Harini",telugu,telugu,501819,"SERIOUS, INTENSE, ROMANTIC, WARM, PEACEFUL",
INS172104013,62327026.0,"Baguntundhi Nuvvu Navvithe (From ""Atithi Devobhava"")","Shekar Chandra, Sid Sriram, Nutana Mohan",telugu,telugu,501819,"affectionate, soothing, uplifting",
IN-V11-98-00032,,,,,,,,
INS182403333,139788580.0,,"A.R. Rahman, Dhee",,,,,
INH109939990,13217060.0,Na Tum Jano Na Hum,"Lucky Ali, Ramya","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","nostalgic, heartwarming",daydreaming
INA442300272,126002584.0,"Don't Worry Baby Chinnamma (From ""Bheema"")","Gana Muthu, Charanraj MR, Nagarjun Sharma","kannadan, pop","pop, kannadan","501120, 501575",,
INS170100025,13220079.0,Suraj Hua Maddham,"Sandesh Shandilya, Sonu Nigam, Alka Yagnik, Amitabh Bachchan, Jaya Bachchan, Shah Rukh Khan, Kajol, Hrithik Roshan, Kareena Kapoor","bollywood, south asian classical, pakistani fusion, indian fusion","bollywood, south asian classical, indian fusion, pakistani fusion","501219, 503287, 507684, 507755","emotional, heartwarming, celebratory, melancholic, nostalgic","soft, sleep, lofi, roadtrip, wind, sleeping"
ING642424834,140661446.0,Sadiya Kariya,"Ankush Raja, Karishma Kakkar",bhojpuri,bhojpuri,501310,,
INH100042320,13212908.0,Ek Pyar Ka Naghma Hai,"Lata Mangeshkar, Mukesh","playback, bollywood","bollywood, playback","501219, 505383","family, catchy","soft, focus"
INS181601486,16849840.0,Phir Kabhi,Arijit Singh,"bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","emotional, yearning, connecting, intense, heartwarming","soft, lofi, sleep, study, morning"
QMBZ92319256,104746095.0,"Kaavaalaa (From ""Jailer"")","Shilpa Rao, Anirudh Ravichander, Arunraja Kamaraj",tamil,tamil,501811,"entertaining, fun, catchy, anthemic, energetic, youthful","workout, background, driving, running"
TCAHK2379648,112005899.0,,"Diljit Dosanjh, thiarajxtt",,,,,
DGA0Q2488556,138673447.0,,"Purav Jha, Saurabh Safary",,,,,
INS182403451,140424110.0,Gango Renuka Thalli,"Mahalingam, Devi Sri Prasad, Chandra Bose","telugu, tamil","tamil, telugu","501811, 501819","adrenaline, energetic","beach, bonding, driving, lofi, running"
INS171806873,20605377.0,Kya Baat Ay,Harrdy Sandhu,"pakistani fusion, indian fusion, indian pop, punjabi trap, punjabi","indian pop, punjabi, indian fusion, pakistani fusion, punjabi trap","501220, 501717, 507684, 507755, 507791","hypnotic, flirty, passionate, celebratory, cathartic","urban, workout, soft, noise, driving"
INH109531200,13216493.0,,"Lata Mangeshkar, Kishore Kumar, S. D. Burman",,,,,
INS180702210,17285642.0,Beete Lamhein,"KK, Emraan Hashmi, Sayali Bhagat, Geeta Basra","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic, sufi rock","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion, sufi rock","501219, 503287, 507684, 507743, 507755, 507824","emotional, dramatic, lonely, longing, mysterious, nostalgic","sleep, soft, lofi, driving, wind"
INH102100261,48487543.0,Paani Paani,"Badshah, Aastha Gill","indian fusion, indian pop, pakistani fusion","indian pop, indian fusion, pakistani fusion","501220, 507684, 507755",festive,"partying, summer"
DGA052307798,104428216.0,,"Parmish Verma, Paradox",,,,,
INH109243080,13215957.0,"Ek Ajnabee Haseena Se (From ""Ajanabee"")","Kishore Kumar, R. D. Burman","playback, south asian classical, bollywood, pakistani fusion","bollywood, south asian classical, playback, pakistani fusion","501219, 503287, 505383, 507755","bittersweet, dramatic, yearning, longing, nostalgic, heartwarming","soft, morning, lofi, wind"
INH102412136,137307030.0,,"Achint, Arijit Singh, Anumita Nadesan, Varun Grover",,,,,
INH109243040,13215954.0,Rimjhim Gire Sawan,"Kishore Kumar, R. D. Burman",playback,playback,505383,"peaceful, tranquil",
INH109637900,13216819.0,"Tum Ko Dekha To Yeh Khayal Aaya (From ""Saath Saath"")","Jagjit Singh, Chitra Singh","playback, bollywood","bollywood, playback","501219, 505383","PEACEFUL, DARK, ROMANTIC, GRIEF, WARM",
INS181600615,16580566.0,Bol Do Na Zara,"Armaan Malik, Rashmi Virag","bollywood, pakistani fusion, south asian classical, new romantic, indian fusion","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","chill, happy","soft, sleep"
INS181201310,18730757.0,Duaa,"Nandini Srikar, Arijit Singh","bollywood, pakistani fusion, south asian classical, indian fusion, new romantic","bollywood, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 503287, 507684, 507743, 507755","melancholic, emotional, dreamy, mellow","sleep, soft, lofi, wind"
INS182401612,121033823.0,"Satyanaas (From ""Chandu Champion"")","Pritam, Arijit Singh, Nakash Aziz, Amitabh Bhattacharya, Dev Negi","new romantic, indian pop, indian fusion, bollywood, south asian classical, pakistani fusion","bollywood, indian pop, south asian classical, indian fusion, new romantic, pakistani fusion","501219, 501220, 503287, 507684, 507743, 507755","dark, funky, adrenaline, depressing, fun, nostalgic, raw","cleaning, lofi, relaxation"
